date,datetime,source,headline,summary,url,relevance_score
2026-02-27,2026-02-27 17:22:09,Ibtimes.com.au,"Dell Technologies Stock Surges 20% on Blowout Q4 Earnings, AI Server Boom Drives Record Results","Dell Technologies Inc. (NYSE: DELL) shares soared more than 20% on February 27, 2026, after the company reported record fourth-quarter and full-year fiscal 2026 results, fueled by explosive demand for AI-optimized servers.",https://www.ibtimes.com.au/dell-technologies-stock-surges-20-blowout-q4-earnings-ai-server-boom-drives-record-results-1862313,3
2026-02-27,2026-02-27 17:15:59,Jezebel,"Citing AI, Jack Dorsey Fired 40% of His Staff and Block Stock Popped. This Is Fine.","The anxiety around AI taking people's jobs is real and justified, even if most of the AI hype isn't. It's happening all around us.",https://www.jezebel.com/citing-ai-jack-dorsey-fired-40-of-his-staff-and-block-stock-shot-up-this-is-fine,1
2026-02-27,2026-02-27 17:15:07,IPWatchdog.com,"Other Barks & Bites for Friday, February 27: UK Trademarks No Longer Within Scope of EU Law Post-Brexit; Second Circuit Reverses Ruling on Concert Rates Under BMI Consent Decree; USPTO Employee Pays $500K to Resolve Conflict of Interest Allegations",This week in Other Barks & Bites: the EU’s highest court holds that UK trademark rights cannot support opposition proceedings within the EU since the conclusion of the transitional period following Brexit; Merck shuffles its corporate structure in advance of …,https://ipwatchdog.com/2026/02/27/bites-barks-second-circuit-reverses-ruling-concert-rates-bmi-consent-decree-uspto-employee-pays/,2
2026-02-27,2026-02-27 17:11:00,Yahoo Entertainment,Can Netflix Stock Beat the Market?,,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_d94bf38d-b520-4446-b1f9-8ac2e2a8d6a2,2
2026-02-27,2026-02-27 17:09:10,CoinDesk,"Bitcoin' rebound cancelled as U.S. stocks fall, gold surges, amid mounting macro risks","Between credit stress concerns, a hot PPI inflation reading, and tensions between U.S. and Iran, investors have plenty of reasons to stay away from risk assets.",https://www.coindesk.com/markets/2026/02/27/bitcoin-rebound-cancelled-as-u-s-stocks-fall-gold-surges-amid-mounting-macro-risks,2
2026-02-27,2026-02-27 17:08:35,Business Insider,Citi sounds the alarm for a deflationary spiral if AI sparks high unemployment and only benefits a small elite,"There's a risk that rising job losses from AI will cause prices to fall as more Americans tighten their spending, according to a new Citi note.",https://www.businessinsider.com/ai-layoffs-deflation-us-economy-job-market-outlook-citi-2026-2,1
2026-02-27,2026-02-27 17:03:59,Financial Post,upGrad Acquires World’s Largest Internship Platform – Internshala,"MUMBAI, India — upGrad, Asia’s leading integrated skilling and workforce development company, has announced the acquisition of Internshala, the world’s largest early-talent marketplace, for an undisclosed amount — in a 90% stock-swap transaction. The acquisit…",https://financialpost.com/pmn/business-wire-news-releases-pmn/upgrad-acquires-worlds-largest-internship-platform-internshala,4
2026-02-27,2026-02-27 17:03:36,GamesIndustry.biz,The Warner Bros. acquisition: a timeline of events so far,"The acquisition of movie giant Warner Bros. has become something of a popcorn-munching spectacle, as Netflix and Paramount vie to absorb the storied company. At the time of writing, it seems like Paramount will be the likely suitor, having significantly upped…",https://www.gamesindustry.biz/the-warner-bros-acquisition-a-timeline-of-events-so-far,1
2026-02-27,2026-02-27 17:00:00,GlobeNewswire,Deadline Alert: NuScale Power Corporation (SMR) Shareholders Who Lost Money Urged To Contact Glancy Prongay Wolke & Rotter LLP About Securities Fraud Lawsuit,"LOS ANGELES, Feb. 27, 2026 (GLOBE NEWSWIRE) -- Glancy Prongay Wolke & Rotter LLP reminds investors of the upcoming April 20, 2026 deadline to file a lead plaintiff motion in the class action filed on behalf of investors who purchased or otherwise acquired NuS…",https://www.globenewswire.com/news-release/2026/02/27/3246681/34548/en/Deadline-Alert-NuScale-Power-Corporation-SMR-Shareholders-Who-Lost-Money-Urged-To-Contact-Glancy-Prongay-Wolke-Rotter-LLP-About-Securities-Fraud-Lawsuit.html,1
2026-02-27,2026-02-27 17:00:00,GlobeNewswire,Deadline Alert: Smart Digital Group Limited (SDM) Shareholders Who Lost Money Urged To Contact Glancy Prongay Wolke & Rotter LLP About Securities Fraud Lawsuit,"Shareholders with losses of $1,000,000 or more are encouraged to contact the firm. Shareholders with losses of $1,000,000 or more are encouraged to contact the firm.",https://www.globenewswire.com/news-release/2026/02/27/3246684/34548/en/Deadline-Alert-Smart-Digital-Group-Limited-SDM-Shareholders-Who-Lost-Money-Urged-To-Contact-Glancy-Prongay-Wolke-Rotter-LLP-About-Securities-Fraud-Lawsuit.html,2
2026-02-27,2026-02-27 16:47:49,MarketBeat,TWFG Q4 Earnings Call Highlights,"TWFG (NASDAQ:TWFG) executives highlighted double-digit organic growth, acquisition-driven expansion, and improving profitability during the company’s fourth ...",https://www.marketbeat.com/instant-alerts/twfg-q4-earnings-call-highlights-2026-02-27/?utm_source=yahoofinance&amp;utm_medium=yahoofinance,3
2026-02-27,2026-02-27 16:47:05,CNBC,"CoreWeave CEO defends spending plans, tries to combat debt narrative as stock plummets nearly 20%","Coreweave CEO Mike Intrator defended the company's debt narrative during an interview with CNBC's ""Squawk on the Street"" on Friday.",https://www.cnbc.com/2026/02/27/coreweave-ceo-intrator-stock-ai-spending.html,1
2026-02-27,2026-02-27 16:42:26,The Times of India,Sleeping 6 hours and feeling fine? CMC Vellore doctor shares the danger you don't notice,Sleeping only six hours nightly impacts your brain's performance. Even mild sleep loss silently damages focus and memory. Studies show cognitive decline after just two weeks of restricted sleep. Adults need seven to nine hours for essential brain repair. This…,https://economictimes.indiatimes.com/magazines/panache/sleeping-6-hours-and-feeling-fine-cmc-vellore-doctor-shares-the-danger-you-dont-notice/articleshow/128858768.cms,2
2026-02-27,2026-02-27 16:40:00,Federalreserve.gov,FEDS Paper: Disruptions to Foreign Trade and U.S. Banks' Returns,"Michele Modugno, Dino Palazzo, Carlos A. Ramírez, and Thiago R.T. FerreiraWe develop a market-based measure of firms' and industries' exposure to foreign trade disruptions. Combining this approach with detailed supervisory data, we quantify large U.S. banks' …",https://www.federalreserve.gov/econres/feds/disruptions-to-foreign-trade-and-us-banks-returns.htm,1
2026-02-27,2026-02-27 16:34:30,HuffPost,"U.S. Stocks Sink, Oil Prices Rise As Inflation, AI, War Worries Hit Wall Street",Wholesale inflation last month was nearly double what economists expected.,https://www.huffpost.com/entry/us-stocks-down-inflation-ai-war_n_69a1c494e4b03025399372ed,2
2026-02-27,2026-02-27 16:34:29,The Times of India,"Dow, S&P 500 and Nasdaq post worst month in 11 months — is the AI stock boom losing momentum? what investors need to know about the 2026 US stock market outlook",The US stock market volatility story just turned serious. The Dow Jones fell over 700 points this week. The S&P 500 and Nasdaq are now posting their worst month in 11 months. AI stocks led the collapse. Nvidia crashed despite beating earnings. Big Tech's bill…,https://economictimes.indiatimes.com/news/international/us/dow-sp-500-and-nasdaq-post-worst-month-in-11-months-is-the-ai-stock-boom-losing-momentum-what-investors-need-to-know-about-the-2026-us-stock-market-outlook/articleshow/128858958.cms,4
2026-02-27,2026-02-27 16:31:27,The Times of India,SBI block deal: BNP Paribas buys 5.28 lakh shares in a Rs 64 crore transaction,French bank BNP Paribas acquired 5.28 lakh shares of State Bank of India for Rs 64 crore. The transaction occurred through a block deal with Societe Generale. SBI shares have shown strong investor returns over the past year. The bank recently surpassed Tata C…,https://economictimes.indiatimes.com/markets/stocks/news/sbi-block-deal-bnp-paribas-buys-5-28-lakh-shares-in-a-rs-64-crore-transaction/articleshow/128859109.cms,1
2026-02-27,2026-02-27 16:28:08,Capital10x.com,Cambria Gold Mines Announces Commencement of Infill Drilling at the Premier Gold Project and Marketing Services Update - Capital 10X,"Cambria Gold Mines Inc. (TSXV: CAMB) (OTC Pink: AOTVF) announced the commencement of infill drilling at the Company's Premier Gold Project (""PGP"") in northwestern British Columbia. Cambria has planned 27,000 meters of underground and surface diamond drilling …",https://capital10x.com/cambria-gold-mines-announces-commencement-of-infill-drilling-at-the-premier-gold-project-and-marketing-services-update/,1
2026-02-27,2026-02-27 16:22:51,The Times of India,"Infosys ADRs tumble 5%, Wipro slips over 3% as Wall Street rattled by inflation data and AI fears","Infosys and Wipro ADRs tumbled on the NYSE amid AI-driven fears and higher-than-expected US wholesale inflation. Block's CEO Jack Dorsey announced significant workforce reductions, citing AI's potential to enable smaller teams to achieve more, a move that boo…",https://economictimes.indiatimes.com/markets/us-stocks/news/infosys-adrs-tumble-5-wipro-slips-over-3-as-wall-street-rattled-by-inflation-data-and-ai-fears/articleshow/128858822.cms,1
2026-02-27,2026-02-27 16:00:21,SiliconANGLE News,"As OpenAI raises its megaround, Anthropic’s battles multiply, and the SaaSpocalypse widens — but Dell cashes in","Investors continue to get pickier as what otherwise look like really good earnings results elicit skepticism and worry — and even tech gods such as Nvidia are getting hit. Some companies such as Snowflake appear to holding up. Others, such as Workday, not so …",https://siliconangle.com/2026/02/27/openai-raises-megaround-anthropics-battles-multiply-saaspocalypse-widens/,1
2026-02-27,2026-02-27 16:00:00,Wired,Wall Street Has AI Psychosis,A “thought experiment” about the impacts of AI sent stocks tumbling earlier this week. It’s probably going to keep happening.,https://www.wired.com/story/wall-street-has-ai-psychosis/,1
2026-02-27,2026-02-27 15:54:10,Ibtimes.com.au,JPMorgan Chase & Co. (JPM) Stock Experiences Volatility Amid Strong Outlook and CEO Warnings,"JPMorgan Chase & Co., the largest U.S. bank by assets, saw its shares fluctuate in late February 2026 trading as investors digested recent company guidance, CEO Jamie Dimon's economic cautions and broader market pressures.",https://www.ibtimes.com.au/jpmorgan-chase-co-jpm-stock-experiences-volatility-amid-strong-outlook-ceo-warnings-1862299,4
2026-02-27,2026-02-27 15:53:00,Slashdot.org,"Stock Market Today: SPY, QQQ Dragged Down by Nvidia amid ‘Positive’ U.S.-Iran Talks - TipRanks","Stock Market Today: SPY, QQQ Dragged Down by Nvidia amid ‘Positive’ U.S.-Iran TalksTipRanks Oil prices rise 3% as US and Iran extend talks into next weekReuters Oil prices stable as large US crude stock build outshines supply concernsCNBC Iranian oil loading …",https://slashdot.org/firehose.pl?op=view&amp;id=180868170,2
2026-02-27,2026-02-27 15:51:11,Observer,The ESG Era Is Over. Western Capital Must Now Choose a Side.,"While Davos panels debated trust, China quietly took the lead in 57 of 64 strategic technologies. The iShares Aerospace & Defense ETF returned nearly 49 percent in 2025. The market has already voted—now Western capital must follow.",https://observer.com/2026/02/esg-is-dead-defense-investing-is-the-new-fiduciary-duty-expert-insights/,4
2026-02-27,2026-02-27 15:48:21,Ibtimes.com.au,Alphabet Inc. Shares Dip on Heavy AI Spending Outlook Despite Strong Earnings Momentum,"Alphabet Inc. (NASDAQ: GOOGL), the parent company of Google, saw its Class A shares close at $307.38 on Feb. 26, down 1.76% or $5.52 from the previous session's $312.90. The decline followed broader market pressures and investor concerns over the company's ag…",https://www.ibtimes.com.au/alphabet-inc-shares-dip-heavy-ai-spending-outlook-despite-strong-earnings-momentum-1862296,3
2026-02-27,2026-02-27 15:45:53,Ibtimes.com.au,Nokia Oyj Shares Hold Steady Amid AI Push and Telecom Partnerships,"Nokia Oyj (NYSE: NOK), the Finnish telecommunications equipment giant, continues to navigate a transforming industry landscape as it capitalizes on artificial intelligence and advanced network technologies.",https://www.ibtimes.com.au/nokia-oyj-shares-hold-steady-amid-ai-push-telecom-partnerships-1862293,1
2026-02-27,2026-02-27 15:42:53,Financial Post,"S&P 500 Falls as Risk Off Prevails, Block Cuts Spur AI Anxiety",US stocks opened lower as risk-off sentiment swept through markets and fintech Block Inc.’s massive layoffs fanned angst that artificial-intelligence is poised to upend broad sections of the economy.,https://financialpost.com/pmn/business-pmn/sp-500-falls-as-risk-off-prevails-block-cuts-spur-ai-anxiety,2
2026-02-27,2026-02-27 15:42:43,BusinessLine,Why the concern over capital flows,"With developed markets too becoming a draw for investors, the outlook on the currency looks slightly uncertain",https://www.thehindubusinessline.com/opinion/why-the-concern-over-capital-flows/article70685198.ece,1
2026-02-27,2026-02-27 15:40:38,BusinessLine,‘80% of stocks under bear grip despite Nifty near all-time high’,"Despite Nifty's highs, 80% of stocks are in bear territory, presenting unique investment opportunities, says Monarch AIF.",https://www.thehindubusinessline.com/markets/80-of-stocks-under-bear-grip-despite-nifty-near-all-time-high/article70684910.ece,3
2026-02-27,2026-02-27 15:39:55,Pypi.org,trading-skills 0.1.6,AI-powered market analysis skills and MCP server for stock and options traders,https://pypi.org/project/trading-skills/0.1.6/,3
2026-02-27,2026-02-27 15:35:08,Freerepublic.com,"Core wholesale prices rose 0.8% in January, much more than expected","Wholesale prices rose at a faster-than-expected pace in January, countering hopes that inflation was easing, the Bureau of Labor Statistics reported Friday. The Producer Price Index which excludes volatile food and energy prices, increased a seasonally adjust…",https://freerepublic.com/focus/f-news/4368539/posts,1
2026-02-27,2026-02-27 15:33:45,Untold-arsenal.com,FA’s trust in Fifa results in potential huge losses for football from World Cup,FA’s trust in Fifa results in potential huge losses for football from World Cup Chaos looms in the Champions League draw. Of course – what did you expect? By Tony Attwood If you take any interest in the World Cup (and of course there is no particular reason w…,https://untold-arsenal.com/archives/119642,1
2026-02-27,2026-02-27 15:32:36,Slashdot.org,"Stocks sell off on tech struggles and hot U.S. inflation report, Dow slides 700 points: Live updates - CNBC","Stocks sell off on tech struggles and hot U.S. inflation report, Dow slides 700 points: Live updatesCNBC Stock market today: Dow, S&P 500, Nasdaq sink after PPI inflation comes in hot, Block lays out AI shiftYahoo Finance S&P 500 Falls as Risk Off Prevails, B…",https://slashdot.org/firehose.pl?op=view&amp;id=180868082,3
2026-02-27,2026-02-27 15:28:38,The Times of India,"Vishal Mega Mart bulk deal: Govt of Singapore, HDFC MF buy stakes as promoter sells 14% for Rs 7,636 crore","The Government of Singapore, HDFC Mutual Fund and the Monetary Authority of Singapore bought promoter shares worth thousands of crores in Vishal Mega Mart as Samayat Services LLP offloaded a 14% stake via bulk deals. The stock fell despite solid quarterly pro…",https://economictimes.indiatimes.com/markets/stocks/news/vishal-mega-mart-bulk-deal-govt-of-singapore-hdfc-mf-buy-stakes-as-promoter-sells-14-for-rs-7636-crore/articleshow/128857180.cms,2
2026-02-27,2026-02-27 15:27:05,Yahoo Entertainment,What Makes Occidental Petroleum Corporation (OXY) an Investment Bet?,"Mott Capital Management, an investment management company, released its Q4 2025 investor letter. A copy of the letter can be downloaded here. Stock markets...",https://finance.yahoo.com/news/makes-occidental-petroleum-corporation-oxy-152705720.html,2
2026-02-27,2026-02-27 15:25:07,Business Insider,Block's layoffs illustrate the market conundrum at the heart of the viral Citrini report,"Investors cheered Block's big layoffs, but the move also flicks at the tension between markets and the economy Citrini highligthed in its viral AI note.",https://www.businessinsider.com/block-layoffs-ai-job-cuts-white-collar-recession-outlook-2026-2,2
2026-02-27,2026-02-27 15:24:06,The Local Germany,German inflation unexpectedly slows in February,"German inflation unexpectedly slowed in February, official data showed Friday, bolstering expectations that the European Central Bank will keep interest rates on hold for some time.",https://www.thelocal.de/20260227/german-inflation-unexpectedly-slows-in-february,2
2026-02-27,2026-02-27 15:19:28,Yahoo Entertainment,What Makes APi Group (APG) a Strong Investment?,"Aristotle Funds, an investment advisor, released its “Core Equity Fund” fourth-quarter 2025 investor letter. A copy of the letter can be downloaded here. U.S...",https://finance.yahoo.com/news/makes-api-group-apg-strong-151928640.html,1
2026-02-27,2026-02-27 15:19:25,The Times of India,"Dow Jones free fall today: Why did the Dow crash 800 points — inflation shock, Iran war fear and AI disruption slam US stock market on the last February trading day","The Dow Jones is crashing today. It fell 800 points — down 1.57% — on February 27, 2026. The S&P 500 dropped 0.78% and the Nasdaq sank 0.98%. The Dow Jones free fall today came after hot US inflation data shocked Wall Street. January Producer Price Index rose…",https://economictimes.indiatimes.com/news/international/us/dow-jones-free-fall-today-why-did-the-dow-crash-800-points-inflation-shock-iran-war-fear-and-ai-disruption-slam-us-stock-market-on-the-last-february-trading-day/articleshow/128856605.cms,5
2026-02-27,2026-02-27 15:17:08,Yahoo Entertainment,Here’s What Lifted General Motors (GM) in Q4,"Aristotle Funds, an investment advisor, released its “Core Equity Fund” fourth-quarter 2025 investor letter. A copy of the letter can be downloaded here. U.S...",https://finance.yahoo.com/news/lifted-general-motors-gm-q4-151708595.html,1
2026-02-27,2026-02-27 15:13:49,Yahoo Entertainment,O’Reilly Automotive (ORLY) is Accelerating New Store Openings in 2026,"Aristotle Funds, an investment advisor, released its “Core Equity Fund” fourth-quarter 2025 investor letter. A copy of the letter can be downloaded here. U.S...",https://finance.yahoo.com/news/o-reilly-automotive-orly-accelerating-151349290.html,1
2026-02-27,2026-02-27 15:13:14,Observer,Jack Dorsey Cut Half of Block’s Workforce and Wall Street Threw a Party,"Jack Dorsey is one of the most consequential entrepreneurs of his generation. When someone with that track record says A.I. is about to reshape every company in America, and then proves he means it by cutting his own organization in half, the prudent response…",https://observer.com/2026/02/what-jack-dorseys-block-layoffs-mean-for-the-job-market-at-large/,1
2026-02-27,2026-02-27 15:08:00,GlobeNewswire,"Credit Markets Flash Red: Are We Repeating the Early Mistakes of 2008? Michael S. Eisenga, CEO, First American Properties provides insight","COLUMBUS, Wis., Feb. 27, 2026 (GLOBE NEWSWIRE) -- Recent developments in private credit markets are raising serious concerns that conditions may be echoing the early stages of the 2008 financial crisis.",https://www.globenewswire.com/news-release/2026/02/27/3246598/0/en/Credit-Markets-Flash-Red-Are-We-Repeating-the-Early-Mistakes-of-2008-Michael-S-Eisenga-CEO-First-American-Properties-provides-insight.html,1
2026-02-27,2026-02-27 15:07:39,Yahoo Entertainment,Do You Believe in the Long-Term Growth Potential of Performance Food Group Company (PFGC)?,"Aristotle Funds, an investment advisor, released its “Core Equity Fund” fourth-quarter 2025 investor letter. A copy of the letter can be downloaded here. U.S...",https://finance.yahoo.com/news/believe-long-term-growth-potential-150739032.html,1
2026-02-27,2026-02-27 15:03:17,The Times of India,"Dell shares jump 17%, hit 3-month highs on forecast to double AI server revenue","Shares of Dell Technologies jumped 17.5% on Friday after the company forecast revenue from its AI server business will double in fiscal 2027, underscoring ‌surging demand for ⁠infrastructure ⁠catering to artificial intelligence.",https://economictimes.indiatimes.com/markets/us-stocks/news/us-stocks-dell-shares-jump-17-hit-3-month-highs-on-forecast-it-will-double-ai-server-revenue/articleshow/128856303.cms,1
2026-02-27,2026-02-27 15:00:43,Weandthecolor.com,An Adobe InDesign Resume and Cover Letter Template That Proves Less Is Always More,"The job market suffers from overly flashy resume designs that rely on bright colors, clutter, and decorative fonts, which can hurt a candidate’s professionalism. In contrast, many successful creatives...",https://tumblr.weandthecolor.com/post/809715046596968448/an-adobe-indesign-resume-and-cover-letter-template,1
2026-02-27,2026-02-27 15:00:04,The Times of India,"Why is the US stock market sinking deep in red today? Dow Jones, S&P 500, Nasdaq crash as hot inflation data and AI fears shake Wall Street","US stock market crash today: The Dow Jones Industrial Average crashed 777 points on Friday, February 27, 2026. The S&P 500 dropped 65 points and the Nasdaq fell 257 points. January's Producer Price Index shocked markets, jumping 0.5% — well above the 0.3% for…",https://economictimes.indiatimes.com/news/international/us/why-is-the-us-stock-market-sinking-deep-in-red-today-dow-jones-sp-500-nasdaq-crash-as-hot-inflation-data-and-ai-fears-shake-wall-street/articleshow/128856084.cms,4
2026-02-27,2026-02-27 15:00:01,The Times of India,US Stocks: CoreWeave shares slump 15% as doubling capital expenditure sparks margin concerns,"Shares of CoreWeave slumped around 15% on Friday, ​after the company's plans to double capital expenditure this year stoked investor concerns about margin pressure and effective returns from its artificial intelligence push.",https://economictimes.indiatimes.com/markets/us-stocks/news/us-stocks-coreweave-shares-slump-15-as-doubling-capital-expenditure-sparks-margin-concerns/articleshow/128856159.cms,2
2026-02-27,2026-02-27 15:00:00,MarketingProfs.com,"AI Update, February 27, 2026: AI News and Views From the Past Week",Catch up on select AI news and developments since the workweek ended February 20. Stay in the know. Read the full article at MarketingProfs,https://www.marketingprofs.com/opinions/2026/54358/ai-update-february-27-2026-ai-news-and-views-from-the-past-week,1
2026-02-27,2026-02-27 14:58:27,Business Insider,"Inflation fears have returned, and stocks are getting hammered","January wholesale inflation data surpassed estimates, hitting stocks as traders fret over the path of interest rate cuts.",https://www.businessinsider.com/stock-market-today-inflation-ppi-wall-street-economy-wholesale-prices-2026-2,3
2026-02-27,2026-02-27 14:46:48,CNBC,UBS downgrades the U.S. stock market. Here's what has the investment bank worried,"UBS downgraded U.S. equities to benchmark in a fully invested global equity portfolio, saying factors that powered years of outperformance are starting to fade.",https://www.cnbc.com/2026/02/27/ubs-downgrades-the-us-stock-market-heres-what-has-the-investment-bank-worried.html,3
2026-02-27,2026-02-27 14:34:08,The Times of India,"US stock markets today: Dow Jones crashes 500 points, Nasdaq drops over 1% as AI worries spook investors","Wall ​Street's main ​indexes opened lower ​on Friday as AI anxiety dragged on ‌tech ⁠stocks, ⁠with the Nasdaq ​bracing for its steepest monthly ​drop since March 2025, while hotter-than-expected ​inflation data ⁠also dampened sentiment.",https://economictimes.indiatimes.com/markets/us-stocks/news/us-stock-markets-today-dow-jones-crashes-500-points-nasdaq-drops-over-1-as-ai-worries-spook-investors/articleshow/128855382.cms,4
2026-02-27,2026-02-27 14:33:56,The Irish Times,OpenAI secures up to €93bn in record funding deal,Sam Altman’s $730bn start-up restocks its war chest for battle with Anthropic and Google,https://www.irishtimes.com/business/2026/02/27/openai-secures-up-to-93bn-in-record-funding-deal/,1
2026-02-27,2026-02-27 14:30:22,Yahoo Entertainment,"Nio Blitzes SUV Market: Flagship ES9, Onvo L80 Set For May Launch","Nio Inc. (NYSE:NIO) is gearing up for an aggressive SUV expansion, unveiling plans to roll out new flagship and sub-brand models in the coming months as it...",https://finance.yahoo.com/news/nio-blitzes-suv-market-flagship-143022105.html,1
2026-02-27,2026-02-27 14:27:06,Financial Post,Canada GDP Shrinks 0.6% in Fourth Quarter as Inventory Drops,The Canadian economy ended the year on a softer note as a sharp decline in business inventories drove down real gross domestic product by an annualized 0.6% in the fourth quarter.,https://financialpost.com/pmn/business-pmn/canada-gdp-shrinks-0-6-in-fourth-quarter-as-inventory-drops,1
2026-02-27,2026-02-27 14:26:48,The Times of India,"Investors' preference shifting from FDs, real estate to equities, post Covid: Zerodha's Nithin Kamath","Nithin Kamath says post-Covid investing has transformed India’s markets, with over 11 crore unique investors and rising first-time participation. Savings are shifting from deposits and real estate to equities, especially mutual funds, while direct stock inves…",https://economictimes.indiatimes.com/markets/stocks/news/investors-preference-shifting-from-fds-real-estate-to-equities-post-covid-zerodhas-nithin-kamath/articleshow/128855111.cms,2
2026-02-27,2026-02-27 14:26:30,Coinjournal.net,HBAR price slips to $0.10 as Bitcoin weakness sparks bearish breakdown risk,"Hedera dropped to $0.10 as Bitcoin fell to lows of $65,680. Ethereum (ETH) has shed 5.3% to under $1,950; XRP, Solana, and BNB also dipped. HBAR price could retreat to support at $0.088. Hedera’s HBAR token is under pressure as leading cryptocurrencies Bitcoi…",https://coinjournal.net/news/hbar-price-slips-to-0-10-as-bitcoin-weakness-sparks-bearish-breakdown-risk/,1
2026-02-27,2026-02-27 14:14:21,The Times of India,XED to launch GIFT City's first IPO of USD12 mn; public issue to open on March 6,"Executive learning solutions provider XED Executive Development on Friday said it has fixed a price band of USD 10-10.5 per share for the USD 12 million IPO, which will open for subscription at GIFT City on March 6.",https://economictimes.indiatimes.com/markets/ipos/fpos/xed-to-launch-gift-citys-first-ipo-of-usd12-mn-public-issue-to-open-on-march-6/articleshow/128854426.cms,2
